SMILES,Name,CID,InChI,IUPAC,Status,Source
[O-][N+](=O)c1ccc2c(c1)S(=O)(=O)C=C2,Stattic,2779853,"1S/C8H5NO4S/c10-9(11)7-2-1-6-3-4-14(12,13)8(6)5-7/h1-5H","6-nitro-1-benzothiophene 1,1-dioxide",0,PMID: 23382914
[O-][N+](=O)OCCCCOC(=O)C(c1ccc(c(c1)F)c1ccccc1)C,Nitroflurbiprofen,119387,"1S/C19H20FNO5/c1-14(19(22)25-11-5-6-12-26-21(23)24)16-9-10-17(18(20)13-16)15-7-3-2-4-8-15/h2-4,7-10,13-14H,5-6,11-12H2,1H3",4-nitrooxybutyl 2-(3-fluoro-4-phenylphenyl)propanoate,1,PMID: 10864887
[O-][N+](=O)OCCNC(=O)c1cccnc1,Nicorandil,47528,"1S/C8H9N3O4/c12-8(7-2-1-3-9-6-7)10-4-5-15-11(13)14/h1-3,6H,4-5H2,(H,10,12)",2-(pyridine-3-carbonylamino)ethyl nitrate,1,PMID: 31131539
[O-][n+]1ccccc1SSc1cccc[n+]1[O-],Dipyrithione,3109,1S/C10H8N2O2S2/c13-11-7-3-1-5-9(11)15-16-10-6-2-4-8-12(10)14/h1-8H,1-oxido-2-[(1-oxidopyridin-1-ium-2-yl)disulfanyl]pyridin-1-ium,0,HEPG2
[O-]C(=O)C[C@@H](C[C@@H](/C=C/c1c(c2ccc(cc2)F)c2c(n1C(C)C)cccc2)O)O.[Na+],Fluvastatin sodium,23663976,"1S/C24H26FNO4.Na/c1-15(2)26-21-6-4-3-5-20(21)24(16-7-9-17(25)10-8-16)22(26)12-11-18(27)13-19(28)14-23(29)30;/h3-12,15,18-19,27-28H,13-14H2,1-2H3,(H,29,30);/q;+1/p-1/b12-11+;/t18-,19-;/m1./s1","sodium;(E,3R,5S)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoate",0,HEPG2
[O-]C(=O)C[C@H](C[N+](C)(C)C)OC(=O)C,Acetyl-L-carnitine,7045767,"1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",(3R)-3-acetyloxy-4-(trimethylazaniumyl)butanoate,1,PMID: 17714181
[O-]C(=O)c1ccccc1.CC[C@@H]([C@H]1O[C@@]2(C=C[C@@H]1C)O[C@@H]1CC=C(C)[C@@H](O[C@H]3C[C@H](OC)[C@H]([C@@H](O3)C)O[C@H]3C[C@H](OC)[C@H]([C@@H](O3)C)[NH2+]C)[C@@H](C)C=CC=C3[C@]4([C@H](C(=O)O[C@H](C2)C1)C=C(C)[C@H]([C@H]4OC3)O)O)C,"benzoic acid;(1'R,2R,3S,4'S,6S,8'R,12'S,13'S,20'R,21'R,24'S)-2-[(2S)-butan-2-yl]-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-4-methoxy-5-[(2S,4S,5S,6S)-4-methoxy-6-methyl-5-(methylamino)oxan-2-yl]oxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",131668531,"1S/C49H75NO13.C7H6O2/c1-12-26(2)44-29(5)18-19-48(63-44)24-35-21-34(62-48)17-16-28(4)43(27(3)14-13-15-33-25-56-46-42(51)30(6)20-36(47(52)59-35)49(33,46)53)60-40-23-38(55-11)45(32(8)58-40)61-39-22-37(54-10)41(50-9)31(7)57-39;8-7(9)6-4-2-1-3-5-6/h13-16,18-20,26-27,29,31-32,34-46,50-51,53H,12,17,21-25H2,1-11H3;1-5H,(H,8,9)/t26-,27-,29-,31-,32-,34+,35-,36-,37-,38-,39-,40-,41-,42+,43-,44+,45-,46+,48+,49+;/m0./s1","benzoic acid;(1'R,2R,3S,4'S,6S,8'R,12'S,13'S,20'R,21'R,24'S)-2-[(2S)-butan-2-yl]-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-4-methoxy-5-[(2S,4S,5S,6S)-4-methoxy-6-methyl-5-(methylamino)oxan-2-yl]oxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",0,"CHO, HEPG2"
[O-]C(=O)CCN[N+](C)(C)C,Meldonium,123868,"1S/C6H14N2O2/c1-8(2,3)7-5-4-6(9)10/h7H,4-5H2,1-3H3",3-[(trimethylazaniumyl)amino]propanoate,1,PMID: 31731785
[Se],Selenium,6326970,1S/Se,selenium,1,PMID: 32012916
[Xe],Xenon,23991,1S/Xe,xenon,1,PMID: 17413912
BrC1=C/C(=C(\c2ccccc2S(=O)(=O)[O-])/c2cc(Br)c(c(c2C)Br)O)/C(=C(C1=O)Br)C.[Na+],Bromocresol Blue Sodium Salt,6024631,"1S/C21H14Br4O5S.Na/c1-9-12(7-14(22)20(26)18(9)24)17(11-5-3-4-6-16(11)31(28,29)30)13-8-15(23)21(27)19(25)10(13)2;/h3-8,26H,1-2H3,(H,28,29,30);/q;+1/p-1/b17-13-;","sodium;2-[(E)-(3,5-dibromo-4-hydroxy-2-methylphenyl)-(3,5-dibromo-2-methyl-4-oxocyclohexa-2,5-dien-1-ylidene)methyl]benzenesulfonate",1,HEPG2
Brc1cc(c(c(c1O)Br)C)C1(OS(=O)(=O)c2c1cccc2)c1cc(Br)c(c(c1C)Br)O,Bromocresol green,6451,"1S/C21H14Br4O5S/c1-9-12(7-14(22)19(26)17(9)24)21(13-8-15(23)20(27)18(25)10(13)2)11-5-3-4-6-16(11)31(28,29)30-21/h3-8,26-27H,1-2H3","2,6-dibromo-4-[3-(3,5-dibromo-4-hydroxy-2-methylphenyl)-1,1-dioxo-2,1lambda6-benzoxathiol-3-yl]-3-methylphenol",1,HEPG2
BrC1CCC(Br)C(Br)CCC(C(CCC1Br)Br)Br,"1,2,5,6,9,10-Hexabromocyclododecane",18529,"1S/C12H18Br6/c13-7-1-2-8(14)10(16)5-6-12(18)11(17)4-3-9(7)15/h7-12H,1-6H2","1,2,5,6,9,10-hexabromocyclododecane",0,CHO
Brc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)/C(=O)N2,VEGF Receptor 2 Kinase Inhibitor II,5329155,"1S/C17H15BrN2O/c18-11-5-6-16-13(8-11)14(17(21)20-16)9-12-7-10-3-1-2-4-15(10)19-12/h5-9,19H,1-4H2,(H,20,21)/b14-9-","(3Z)-5-bromo-3-(4,5,6,7-tetrahydro-1H-indol-2-ylmethylidene)-1H-indol-2-one",1,PMID: 15836613
C,Methane,297,1S/CH4/h1H4,methane,1,PMID: 30779706
C[C@@H](N(CC#C)C)Cc1ccccc1,Selegiline,26757,"1S/C13H17N/c1-4-10-14(3)12(2)11-13-8-6-5-7-9-13/h1,5-9,12H,10-11H2,2-3H3/t12-/m1/s1",(2R)-N-methyl-1-phenyl-N-prop-2-ynylpropan-2-amine,1,PMID: 19384601
C[C@@H]1CN(CCCn2c3ccccc3c3c2cccc3)C[C@@H](N1)C.Cl.Cl,Rimcazole hydrochloride,53388,"1S/C21H27N3.2ClH/c1-16-14-23(15-17(2)22-16)12-7-13-24-20-10-5-3-8-18(20)19-9-4-6-11-21(19)24;;/h3-6,8-11,16-17,22H,7,12-15H2,1-2H3;2*1H/t16-,17+;;","9-[3-[(3S,5R)-3,5-dimethylpiperazin-1-yl]propyl]carbazole;dihydrochloride",0,HEPG2
C[C@H](c1cccc2c1cccc2)NCCCc1cccc(c1)C(F)(F)F,Cinacalcet,156419,"1S/C22H22F3N/c1-16(20-13-5-10-18-9-2-3-12-21(18)20)26-14-6-8-17-7-4-11-19(15-17)22(23,24)25/h2-5,7,9-13,15-16,26H,6,8,14H2,1H3/t16-/m1/s1",N-[(1R)-1-naphthalen-1-ylethyl]-3-[3-(trifluoromethyl)phenyl]propan-1-amine,1,PMID: 30478254
C[C@H](c1cccc2c1cccc2)NCCCc1cccc(c1)C(F)(F)F.Cl,Cinacalcet hydrochloride,156418,"1S/C22H22F3N.ClH/c1-16(20-13-5-10-18-9-2-3-12-21(18)20)26-14-6-8-17-7-4-11-19(15-17)22(23,24)25;/h2-5,7,9-13,15-16,26H,6,8,14H2,1H3;1H/t16-;/m1./s1",N-[(1R)-1-naphthalen-1-ylethyl]-3-[3-(trifluoromethyl)phenyl]propan-1-amine;hydrochloride,0,CHO
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@@H](CC1CC(=O)NC(=O)C1)O,Cycloheximide,6197,"1S/C15H23NO4/c1-8-3-9(2)15(20)11(4-8)12(17)5-10-6-13(18)16-14(19)7-10/h8-12,17H,3-7H2,1-2H3,(H,16,18,19)/t8-,9-,11-,12+/m0/s1","4-[(2R)-2-[(1S,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl]piperidine-2,6-dione",1,PMID: 11864976
C[N+](=C1C=C/C(=C(/c2ccc(cc2)N(C)C)\c2ccccc2)/C=C1)C.[Cl-],Malachite green,11294,"1S/C23H25N2.ClH/c1-24(2)21-14-10-19(11-15-21)23(18-8-6-5-7-9-18)20-12-16-22(17-13-20)25(3)4;/h5-17H,1-4H3;1H/q+1;/p-1","[4-[[4-(dimethylamino)phenyl]-phenylmethylidene]cyclohexa-2,5-dien-1-ylidene]-dimethylazanium;chloride",0,"CHO, HEPG2"
C[N+](=C1C=C/C(=C(/c2ccc(cc2)N(C)C)\c2ccccc2)/C=C1)C.C[N+](=C1C=C/C(=C(\c2ccc(cc2)N(C)C)/c2ccccc2)/C=C1)C.OC(=O)C(=O)O.[O-]C(=O)C(=O)O.[O-]C(=O)C(=O)O,Malachite Green Oxalate,2724411,"1S/2C23H25N2.3C2H2O4/c2*1-24(2)21-14-10-19(11-15-21)23(18-8-6-5-7-9-18)20-12-16-22(17-13-20)25(3)4;3*3-1(4)2(5)6/h2*5-17H,1-4H3;3*(H,3,4)(H,5,6)/q2*+1;;;/p-2","[4-[[4-(dimethylamino)phenyl]-phenylmethylidene]cyclohexa-2,5-dien-1-ylidene]-dimethylazanium;2-hydroxy-2-oxoacetate;oxalic acid",0,"CHO, HEPG2"
C[N+](=C1C=C/C(=C(\c2ccc(cc2)N(C)C)/c2ccc(cc2)N(C)C)/C=C1)C.[Cl-],Gentian violet,11057,"1S/C25H30N3.ClH/c1-26(2)22-13-7-19(8-14-22)25(20-9-15-23(16-10-20)27(3)4)21-11-17-24(18-12-21)28(5)6;/h7-18H,1-6H3;1H/q+1;/p-1","[4-[bis[4-(dimethylamino)phenyl]methylidene]cyclohexa-2,5-dien-1-ylidene]-dimethylazanium;chloride",0,"CHO, HEPG2"
C[N+](=C1C=C/C(=C(\c2ccc(cc2)N(C)C)/c2ccccc2)/C=C1)C.[O-]C(=O)C(=O)O,Malachite Green oxalate salt,9888276,"1S/C23H25N2.C2H2O4/c1-24(2)21-14-10-19(11-15-21)23(18-8-6-5-7-9-18)20-12-16-22(17-13-20)25(3)4;3-1(4)2(5)6/h5-17H,1-4H3;(H,3,4)(H,5,6)/q+1;/p-1","[4-[[4-(dimethylamino)phenyl]-phenylmethylidene]cyclohexa-2,5-dien-1-ylidene]-dimethylazanium;2-hydroxy-2-oxoacetate",0,"CHO, HEPG2"
C[n+]1cc2c3OCOc3ccc2c2c1c1cc3OCOc3cc1cc2,Sanguinarine,5154,"1S/C20H14NO4/c1-21-8-15-12(4-5-16-20(15)25-10-22-16)13-3-2-11-6-17-18(24-9-23-17)7-14(11)19(13)21/h2-8H,9-10H2,1H3/q+1","24-methyl-5,7,18,20-tetraoxa-24-azoniahexacyclo[11.11.0.02,10.04,8.014,22.017,21]tetracosa-1(24),2,4(8),9,11,13,15,17(21),22-nonaene",0,"CHO, HEPG2"
C[Se](=O)O,Methylselenic acid,161597,"1S/CH4O2Se/c1-4(2)3/h1H3,(H,2,3)",methaneseleninic acid,0,PMID: 15788689
C[Si](c1ccccc1)(c1ccccc1)Cl,Chloro(methyl)diphenylsilane,67349,"1S/C13H13ClSi/c1-15(14,12-8-4-2-5-9-12)13-10-6-3-7-11-13/h2-11H,1H3",chloro-methyl-diphenylsilane,0,HEPG2
C/C(=C\C=C/C(=C\C(=O)O)/C)/C=CC1=C(C)CCCC1(C)C,NA,NA,NA,NA,0,CHO
C/C(=C\c1ccccc1)/[N+](=O)[O-],1-Phenyl-2-nitropropene,1549520,"1S/C9H9NO2/c1-8(10(11)12)7-9-5-3-2-4-6-9/h2-7H,1H3/b8-7+",[(E)-2-nitroprop-1-enyl]benzene,0,HEPG2
C/C(=C\CSc1ccccc1C(=O)O)/CC/C=C(/CCC=C(C)C)\C,Salirasib,5469318,"1S/C22H30O2S/c1-17(2)9-7-10-18(3)11-8-12-19(4)15-16-25-21-14-6-5-13-20(21)22(23)24/h5-6,9,11,13-15H,7-8,10,12,16H2,1-4H3,(H,23,24)/b18-11+,19-15+","2-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]sulfanylbenzoic acid",0,PMID: 20860815
C/C=C/1\[C@H]2C=C(C[C@]1(N)c1c(C2)[nH]c(=O)cc1)C,Huperzine A,854026,"1S/C15H18N2O/c1-3-11-10-6-9(2)8-15(11,16)12-4-5-14(18)17-13(12)7-10/h3-6,10H,7-8,16H2,1-2H3,(H,17,18)/b11-3+/t10-,15+/m0/s1","(1R,9R,13E)-1-amino-13-ethylidene-11-methyl-6-azatricyclo[7.3.1.02,7]trideca-2(7),3,10-trien-5-one",1,PMID: 29967757
C/C=C/C(=O)Oc1c(CCCCCC(C)C)cc(cc1[N+](=O)[O-])[N+](=O)[O-],"4,6-Dinitro-2-(6-methylheptyl)phenol crotonate",53249535,"1S/C18H24N2O6/c1-4-8-17(21)26-18-14(10-7-5-6-9-13(2)3)11-15(19(22)23)12-16(18)20(24)25/h4,8,11-13H,5-7,9-10H2,1-3H3/b8-4+","[2-(6-methylheptyl)-4,6-dinitrophenyl] (E)-but-2-enoate",0,CHO
C/C=C/C[C@H]([C@H]([C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)O)C,cyclosporin A,5284373,"1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41+,42-,43+,44+,45+,46+,47+,49+,50+,51+,52-/m1/s1","(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",1,PMID: 11864976
C/C=C/C1=C(CO)[C@H](O)[C@@H]2[C@H](C1=O)O2,"(2R,3R,4S)-2,3-Epoxy-4-hydroxy-5-(hydroxymethyl)6-[(E)-1-propenyl]-5-cyclohexene-1-one",6917357,"1S/C10H12O4/c1-2-3-5-6(4-11)8(13)10-9(14-10)7(5)12/h2-3,8-11,13H,4H2,1H3/b3-2+/t8-,9-,10+/m0/s1","(1R,5S,6R)-5-hydroxy-4-(hydroxymethyl)-3-[(E)-prop-1-enyl]-7-oxabicyclo[4.1.0]hept-3-en-2-one",1,PMID: 16244443
C/C=C\1/C(=O)C[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,E-Guggulsterone,6439929,"1S/C21H28O2/c1-4-16-19(23)12-18-15-6-5-13-11-14(22)7-9-20(13,2)17(15)8-10-21(16,18)3/h4,11,15,17-18H,5-10,12H2,1-3H3/b16-4-/t15-,17+,18+,20+,21-/m1/s1","(8R,9S,10R,13S,14S,17E)-17-ethylidene-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15-decahydrocyclopenta[a]phenanthrene-3,16-dione",0,HEPG2
C#CCN[C@@H]1CCc2c1cc(cc2)OC(=O)N(CC)C,Ladostigil,208907,"1S/C16H20N2O2/c1-4-10-17-15-9-7-12-6-8-13(11-14(12)15)20-16(19)18(3)5-2/h1,6,8,11,15,17H,5,7,9-10H2,2-3H3/t15-/m1/s1","[(3R)-3-(prop-2-ynylamino)-2,3-dihydro-1H-inden-5-yl] N-ethyl-N-methylcarbamate",1,PMID: 16935943
C#CCN[C@@H]1CCc2c1cccc2,Rasagiline,3052776,"1S/C12H13N/c1-2-9-13-12-8-7-10-5-3-4-6-11(10)12/h1,3-6,12-13H,7-9H2/t12-/m1/s1","(1R)-N-prop-2-ynyl-2,3-dihydro-1H-inden-1-amine",1,PMID: 19384601
C=C1[C@@H]2CC[C@@H]3[C@](C1=O)(C2)[C@]1(O)OC[C@@]23C(=O)C=CC([C@H]2[C@@H]1O)(C)C,Eriocalyxin B,16202215,"1S/C20H24O5/c1-10-11-4-5-12-18-9-25-20(24,19(12,8-11)15(10)22)16(23)14(18)17(2,3)7-6-13(18)21/h6-7,11-12,14,16,23-24H,1,4-5,8-9H2,2-3H3/t11-,12+,14-,16+,18-,19+,20-/m1/s1","(1S,2S,5R,8S,9S,10S,11R)-9,10-dihydroxy-12,12-dimethyl-6-methylidene-17-oxapentacyclo[7.6.2.15,8.01,11.02,8]octadec-13-ene-7,15-dione",0,PMID: 20045442
C=C1C(=O)O[C@H]2[C@@H]1CC1=C(C)C(=O)C=C[C@@]1(C2)C,Yomogin,174865,"1S/C15H16O3/c1-8-10-6-11-9(2)12(16)4-5-15(11,3)7-13(10)18-14(8)17/h4-5,10,13H,1,6-7H2,2-3H3/t10-,13-,15-/m1/s1","(3aR,8aS,9aR)-5,8a-dimethyl-3-methylidene-3a,4,9,9a-tetrahydrobenzo[f][1]benzofuran-2,6-dione",0,PMID: 15256749
C=C1CC[C@H]2[C@@]([C@@H]1Cc1cc(O)ccc1O)(C)CCCC2(C)C,Zonarol,332671,"1S/C21H30O2/c1-14-6-9-19-20(2,3)10-5-11-21(19,4)17(14)13-15-12-16(22)7-8-18(15)23/h7-8,12,17,19,22-23H,1,5-6,9-11,13H2,2-4H3/t17-,19-,21+/m1/s1","2-[[(1R,4aR,8aR)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]methyl]benzene-1,4-diol",1,PMID: 25409433
C=CC(=O)Nc1cc2c(ncnc2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,Canertinib,156414,"1S/C24H25ClFN5O3/c1-2-23(32)30-21-13-17-20(14-22(21)34-9-3-6-31-7-10-33-11-8-31)27-15-28-24(17)29-16-4-5-19(26)18(25)12-16/h2,4-5,12-15H,1,3,6-11H2,(H,30,32)(H,27,28,29)",N-[4-(3-chloro-4-fluoroanilino)-7-(3-morpholin-4-ylpropoxy)quinazolin-6-yl]prop-2-enamide,0,HEPG2
C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)CC,Trimethylolpropane triacrylate,27423,"1S/C15H20O6/c1-5-12(16)19-9-15(8-4,10-20-13(17)6-2)11-21-14(18)7-3/h5-7H,1-3,8-11H2,4H3","2,2-bis(prop-2-enoyloxymethyl)butyl prop-2-enoate",0,"CHO, HEPG2"
C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)CO,Pentaerythritol triacrylate,19042,"1S/C14H18O7/c1-4-11(16)19-8-14(7-15,9-20-12(17)5-2)10-21-13(18)6-3/h4-6,15H,1-3,7-10H2",[2-(hydroxymethyl)-3-prop-2-enoyloxy-2-(prop-2-enoyloxymethyl)propyl] prop-2-enoate,0,HEPG2
C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,Pentaerythritol tetraacrylate,62556,"1S/C17H20O8/c1-5-13(18)22-9-17(10-23-14(19)6-2,11-24-15(20)7-3)12-25-16(21)8-4/h5-8H,1-4,9-12H2","[3-prop-2-enoyloxy-2,2-bis(prop-2-enoyloxymethyl)propyl] prop-2-enoate",0,"CHO, HEPG2"
C=CC(=O)OCC(COC(=O)C=C)(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)CO,Dipentaerythritol pentaacrylate,108956,"1S/C25H32O12/c1-6-19(27)33-14-24(11-26,15-34-20(28)7-2)12-32-13-25(16-35-21(29)8-3,17-36-22(30)9-4)18-37-23(31)10-5/h6-10,26H,1-5,11-18H2","[2-(hydroxymethyl)-3-prop-2-enoyloxy-2-[[3-prop-2-enoyloxy-2,2-bis(prop-2-enoyloxymethyl)propoxy]methyl]propyl] prop-2-enoate",0,"CHO, HEPG2"
C=CC(=O)OCC(OCC(OCC(OC(=O)C=C)C)C)C,Tripropylene glycol diacrylate,4128060,"1S/C15H24O6/c1-6-14(16)20-9-12(4)18-8-11(3)19-10-13(5)21-15(17)7-2/h6-7,11-13H,1-2,8-10H2,3-5H3",2-[2-(2-prop-2-enoyloxypropoxy)propoxy]propyl prop-2-enoate,0,CHO
C=CC(=O)OCC1CC2CC1C1C2C(CC1)COC(=O)C=C,"Octahydro-1H-4,7-methanoindene-1,5-diyldimethanediyl bisprop-2-enoate",3036974,"1S/C18H24O4/c1-3-16(19)21-9-11-5-6-14-15-8-12(18(11)14)7-13(15)10-22-17(20)4-2/h3-4,11-15,18H,1-2,5-10H2","[8-(prop-2-enoyloxymethyl)-3-tricyclo[5.2.1.02,6]decanyl]methyl prop-2-enoate",0,CHO
C=CC(=O)OCCCCOC(=O)C=C,"1,4-Butanediol diacrylate",70613,"1S/C10H14O4/c1-3-9(11)13-7-5-6-8-14-10(12)4-2/h3-4H,1-2,5-8H2",4-prop-2-enoyloxybutyl prop-2-enoate,0,CHO
C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(c1=O)CCOC(=O)C=C,"(2,4,6-Trioxo-1,3,5-triazinane-1,3,5-triyl)triethane-2,1-diyl trisprop-2-enoate",170286,"1S/C18H21N3O9/c1-4-13(22)28-10-7-19-16(25)20(8-11-29-14(23)5-2)18(27)21(17(19)26)9-12-30-15(24)6-3/h4-6H,1-3,7-12H2","2-[2,4,6-trioxo-3,5-bis(2-prop-2-enoyloxyethyl)-1,3,5-triazinan-1-yl]ethyl prop-2-enoate",0,"CHO, HEPG2"
C=CC(=O)OCCOCCOC(=O)C=C,Diethylene glycol diacrylate,19996,"1S/C10H14O5/c1-3-9(11)14-7-5-13-6-8-15-10(12)4-2/h3-4H,1-2,5-8H2",2-(2-prop-2-enoyloxyethoxy)ethyl prop-2-enoate,0,CHO
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,Tetraethylene glycol diacrylate,28803,"1S/C14H22O7/c1-3-13(15)20-11-9-18-7-5-17-6-8-19-10-12-21-14(16)4-2/h3-4H,1-2,5-12H2",2-[2-[2-(2-prop-2-enoyloxyethoxy)ethoxy]ethoxy]ethyl prop-2-enoate,0,"CHO, HEPG2"
C=CCc1cccc(c1O)/C=N/NC(=O)CN1CCN(CC1)Cc1ccccc1,2-[(E)-{2-[(4-benzylpiperazin-1-ium-1-yl)acetyl]hydrazinylidene}methyl]-6-(prop-2-en-1-yl)phenolate,9675990,"1S/C23H28N4O2/c1-2-7-20-10-6-11-21(23(20)29)16-24-25-22(28)18-27-14-12-26(13-15-27)17-19-8-4-3-5-9-19/h2-6,8-11,16,29H,1,7,12-15,17-18H2,(H,25,28)/b24-16+",2-[(E)-[[2-(4-benzylpiperazin-1-ium-1-yl)acetyl]hydrazinylidene]methyl]-6-prop-2-enylphenolate,0,PMID: 16936720
