SMILES,Name,CID,InChI,IUPAC,Status,Source
[O-][Cl](=O)(=O)=O.[NH4+],Ammonium perchlorate,24639,"1S/ClHO4.H3N/c2-1(3,4)5;/h(H,2,3,4,5);1H3",azanium;perchlorate,0,ARE
[O-][Cl](=O)=O.[K+],Potassium chlorate,6426889,"1S/ClHO3.K/c2-1(3)4;/h(H,2,3,4);/q;+1/p-1",potassium;chlorate,0,ARE
[O-][Cl](=O)=O.[Na+],Sodium chlorate,516902,"1S/ClHO3.Na/c2-1(3)4;/h(H,2,3,4);/q;+1/p-1",sodium;chlorate,0,ARE
[O-][Cl]=O.[Na+],Sodium chlorite,23668197,"1S/ClHO2.Na/c2-1-3;/h(H,2,3);/q;+1/p-1",sodium;chlorite,0,ARE
[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+],Potassium dichromate,24502,1S/2Cr.2K.7O/q;;2*+1;;;;;;2*-1,dipotassium;oxido-(oxido(dioxo)chromio)oxy-dioxochromium,1,ARE
[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].O.O.[Na+].[Na+],Sodium dichromate dihydrate,108005,1S/2Cr.2Na.2H2O.7O/h;;;;2*1H2;;;;;;;/q;;2*+1;;;;;;;;2*-1,disodium;oxido-(oxido(dioxo)chromio)oxy-dioxochromium;dihydrate,1,ARE
[O-][N+](=O)[O-].[Na+],Sodium nitrate,24268,1S/NO3.Na/c2-1(3)4;/q-1;+1,sodium;nitrate,0,ARE
[O-][N+](=O)[O-].[NH4+],Ammonium nitrate,22985,1S/NO3.H3N/c2-1(3)4;/h;1H3/q-1;/p+1,azanium;nitrate,0,ARE
[O-][N+](=O)[O-].[O-][N+](=O)[O-].[Ba+2],Barium nitrate,24798,1S/Ba.2NO3/c;2*2-1(3)4/q+2;2*-1,barium(2+);dinitrate,0,ARE
[O-][N+](=O)[O-].[O-][N+](=O)[O-].[Ca+2],Calcium nitrate,24963,1S/Ca.2NO3/c;2*2-1(3)4/q+2;2*-1,calcium;dinitrate,0,ARE
[O-][N+](=O)[O-].[O-][N+](=O)[O-].O.O.O.O.O.O.[Mg+2],Magnesium nitrate hexahydrate,202877,1S/Mg.2NO3.6H2O/c;2*2-1(3)4;;;;;;/h;;;6*1H2/q+2;2*-1;;;;;;,magnesium;dinitrate;hexahydrate,0,ARE
[O-][N+](=O)[O-].[Tl+],Thallium(I) nitrate,24937,1S/NO3.Tl/c2-1(3)4;/q-1;+1,thallium(1+);nitrate,0,ARE
[O-][N+](=O)[O-].CCn1cc[n+](c1)C,1-Ethyl-3-methylimidazolium nitrate,16211072,"1S/C6H11N2.NO3/c1-3-8-5-4-7(2)6-8;2-1(3)4/h4-6H,3H2,1-2H3;/q+1;-1",1-ethyl-3-methylimidazol-3-ium;nitrate,0,ARE
[O-][N+](=O)[O-].OCC(c1ccccc1)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,NA,NA,NA,NA,0,ARE
[O-][N+](=O)[O-].OCCc1sc[n+](c1C)Cc1cnc(nc1N)C,Thiamine nitrate,10762,"1S/C12H17N4OS.NO3/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13;2-1(3)4/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15);/q+1;-1","2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol;nitrate",0,ARE
[O-][N+](=O)/N=C(\NC)/NCc1cnc(s1)Cl,"1-[(2-Chloro-1,3-thiazol-5-yl)methyl]-2-methyl-3-nitroguanidine",213027,"1S/C6H8ClN5O2S/c1-8-6(11-12(13)14)10-3-4-2-9-5(7)15-4/h2H,3H2,1H3,(H2,8,10,11)","1-[(2-chloro-1,3-thiazol-5-yl)methyl]-2-methyl-3-nitroguanidine",0,ARE
[O-][N+](=O)/N=C/1\N(Cc2cnc(s2)Cl)COCN1C,Thiamethoxam,5485188,"1S/C8H10ClN5O3S/c1-12-4-17-5-13(8(12)11-14(15)16)3-6-2-10-7(9)18-6/h2H,3-5H2,1H3/b11-8-","(NZ)-N-[3-[(2-chloro-1,3-thiazol-5-yl)methyl]-5-methyl-1,3,5-oxadiazinan-4-ylidene]nitramide",0,ARE
[O-][N+](=O)/N=C/1\NCCN1Cc1ccc(nc1)Cl,"N-[1-[(6-chloro-3-pyridinyl)methyl]-4,5-dihydroimidazol-2-yl]nitramide",86418,"1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)","N-[1-[(6-chloropyridin-3-yl)methyl]-4,5-dihydroimidazol-2-yl]nitramide",0,ARE
[O-][N+](=O)C,Nitromethane,6375,1S/CH3NO2/c1-2(3)4/h1H3,nitromethane,1,ARE
[O-][N+](=O)C(CC)Cl,1-Chloro-1-nitropropane,11750,"1S/C3H6ClNO2/c1-2-3(4)5(6)7/h3H,2H2,1H3",1-chloro-1-nitropropane,0,ARE
[O-][N+](=O)c1c(C)c([N+](=O)[O-])c(c(c1C(C)(C)C)[N+](=O)[O-])C,Musk xylene,62329,"1S/C12H15N3O6/c1-6-9(13(16)17)7(2)11(15(20)21)8(12(3,4)5)10(6)14(18)19/h1-5H3","1-tert-butyl-3,5-dimethyl-2,4,6-trinitrobenzene",0,ARE
[O-][N+](=O)c1c(C)c(C(=O)C)c(c(c1C(C)(C)C)[N+](=O)[O-])C,Musk ketone,6669,"1S/C14H18N2O5/c1-7-10(9(3)17)8(2)13(16(20)21)11(14(4,5)6)12(7)15(18)19/h1-6H3","1-(4-tert-butyl-2,6-dimethyl-3,5-dinitrophenyl)ethanone",0,ARE
[O-][N+](=O)c1c(C)ccc2c1cccc2,2-Methyl-1-nitronaphthalene,13432,"1S/C11H9NO2/c1-8-6-7-9-4-2-3-5-10(9)11(8)12(13)14/h2-7H,1H3",2-methyl-1-nitronaphthalene,0,ARE
[O-][N+](=O)c1c(C)cccc1[N+](=O)[O-],"2,3-Dinitrotoluene",11761,"1S/C7H6N2O4/c1-5-3-2-4-6(8(10)11)7(5)9(12)13/h2-4H,1H3","1-methyl-2,3-dinitrobenzene",1,ARE
[O-][N+](=O)c1c(C)cccc1C(=O)O,3-Methyl-2-nitrobenzoic acid,21575,"1S/C8H7NO4/c1-5-3-2-4-6(8(10)11)7(5)9(12)13/h2-4H,1H3,(H,10,11)",3-methyl-2-nitrobenzoic acid,0,ARE
[O-][N+](=O)c1c2ccccc2cc2c1cccc2,9-Nitroanthracene,11767,1S/C14H9NO2/c16-15(17)14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-9H,9-nitroanthracene,1,ARE
[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)C(C)(C)C)O,Dinoterb,14994,"1S/C10H12N2O5/c1-10(2,3)7-4-6(11(14)15)5-8(9(7)13)12(16)17/h4-5,13H,1-3H3","2-tert-butyl-4,6-dinitrophenol",1,ARE
[O-][N+](=O)c1cc([N+](=O)[O-])c2c(c1O)cc(cc2)S(=O)(=O)O,Flavianic acid,10226,"1S/C10H6N2O8S/c13-10-7-3-5(21(18,19)20)1-2-6(7)8(11(14)15)4-9(10)12(16)17/h1-4,13H,(H,18,19,20)","8-hydroxy-5,7-dinitronaphthalene-2-sulfonic acid",0,ARE
[O-][N+](=O)c1cc(Br)c(c(c1)[N+](=O)[O-])N,"2-Bromo-4,6-dinitroaniline",15752,"1S/C6H4BrN3O4/c7-4-1-3(9(11)12)2-5(6(4)8)10(13)14/h1-2H,8H2","2-bromo-4,6-dinitroaniline",1,ARE
[O-][N+](=O)c1cc(C)c(c(c1)[N+](=O)[O-])O,"4,6-Dinitro-O-cresol",10800,"1S/C7H6N2O5/c1-4-2-5(8(11)12)3-6(7(4)10)9(13)14/h2-3,10H,1H3","2-methyl-4,6-dinitrophenol",1,ARE
[O-][N+](=O)c1cc(cc(c1Cl)[N+](=O)[O-])C(F)(F)F,"4-Chloro-3,5-dinitrobenzotrifluoride",9809,"1S/C7H2ClF3N2O4/c8-6-4(12(14)15)1-3(7(9,10)11)2-5(6)13(16)17/h1-2H","2-chloro-1,3-dinitro-5-(trifluoromethyl)benzene",1,ARE
[O-][N+](=O)c1cc(cc2c1cccc2)[N+](=O)[O-],"1,3-Dinitronaphthalene",11818,1S/C10H6N2O4/c13-11(14)8-5-7-3-1-2-4-9(7)10(6-8)12(15)16/h1-6H,"1,3-dinitronaphthalene",1,ARE
[O-][N+](=O)c1cc(ccc1C)C(=O)O,4-Methyl-3-nitrobenzoic acid,7319,"1S/C8H7NO4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3,(H,10,11)",4-methyl-3-nitrobenzoic acid,0,ARE
[O-][N+](=O)c1cc(ccc1Cl)C(F)(F)F,4-Chloro-3-nitrobenzotrifluoride,8462,"1S/C7H3ClF3NO2/c8-5-2-1-4(7(9,10)11)3-6(5)12(13)14/h1-3H",1-chloro-2-nitro-4-(trifluoromethyl)benzene,0,ARE
[O-][N+](=O)c1cc(ccc1Nc1ccc(c(c1)S(=O)(=O)[O-])Nc1ccccc1)[N+](=O)[O-].[Na+],C.I. Acid Orange 3,5284435,"1S/C18H14N4O7S.Na/c23-21(24)14-7-9-15(17(11-14)22(25)26)20-13-6-8-16(18(10-13)30(27,28)29)19-12-4-2-1-3-5-12;/h1-11,19-20H,(H,27,28,29);/q;+1/p-1","sodium;2-anilino-5-(2,4-dinitroanilino)benzenesulfonate",0,ARE
[O-][N+](=O)c1cc(ccc1S(=O)(=O)O)[N+](=O)[O-].O.O,"2,4-dinitrobenzenesulfonic Acid Dihydrate",2724588,"1S/C6H4N2O7S.2H2O/c9-7(10)4-1-2-6(16(13,14)15)5(3-4)8(11)12;;/h1-3H,(H,13,14,15);2*1H2","2,4-dinitrobenzenesulfonic acid;dihydrate",1,ARE
[O-][N+](=O)c1cc(Cl)c(c(c1)Cl)N,"2,6-Dichloro-4-nitroaniline",7430,"1S/C6H4Cl2N2O2/c7-4-1-3(10(11)12)2-5(8)6(4)9/h1-2H,9H2","2,6-dichloro-4-nitroaniline",0,ARE
[O-][N+](=O)c1cc(O)c(cc1Cl)N,2-Amino-4-chloro-5-nitrophenol,3894848,"1S/C6H5ClN2O3/c7-3-1-4(8)6(10)2-5(3)9(11)12/h1-2,10H,8H2",2-amino-4-chloro-5-nitrophenol,1,ARE
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])C,"2,4-Dinitrotoluene",8461,"1S/C7H6N2O4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3","1-methyl-2,4-dinitrobenzene",0,ARE
[O-][N+](=O)c1ccc(c(c1)C)C,"1,2-Dimethyl-4-nitrobenzene",7440,"1S/C8H9NO2/c1-6-3-4-8(9(10)11)5-7(6)2/h3-5H,1-2H3","1,2-dimethyl-4-nitrobenzene",0,ARE
[O-][N+](=O)c1ccc(c(c1)C)N,2-Methyl-4-nitroaniline,7441,"1S/C7H8N2O2/c1-5-4-6(9(10)11)2-3-7(5)8/h2-4H,8H2,1H3",2-methyl-4-nitroaniline,0,ARE
[O-][N+](=O)c1ccc(c(c1)Cl)C,2-Chloro-4-nitrotoluene,8491,"1S/C7H6ClNO2/c1-5-2-3-6(9(10)11)4-7(5)8/h2-4H,1H3",2-chloro-1-methyl-4-nitrobenzene,0,ARE
[O-][N+](=O)c1ccc(c(c1)Cl)Cl,"3,4-Dichloronitrobenzene",7443,1S/C6H3Cl2NO2/c7-5-2-1-4(9(10)11)3-6(5)8/h1-3H,"1,2-dichloro-4-nitrobenzene",0,ARE
[O-][N+](=O)c1ccc(c(c1)Cl)F,3-Chloro-4-fluoronitrobenzene,67688,1S/C6H3ClFNO2/c7-5-3-4(9(10)11)1-2-6(5)8/h1-3H,2-chloro-1-fluoro-4-nitrobenzene,0,ARE
[O-][N+](=O)c1ccc(c(c1)N)C,2-Methyl-5-nitroaniline,7444,"1S/C7H8N2O2/c1-5-2-3-6(9(10)11)4-7(5)8/h2-4H,8H2,1H3",2-methyl-5-nitroaniline,0,ARE
[O-][N+](=O)c1ccc(c(c1)N)N,4-Nitro-o-phenylenediamine,5111791,"1S/C6H7N3O2/c7-5-2-1-4(9(10)11)3-6(5)8/h1-3H,7-8H2","4-nitrobenzene-1,2-diamine",1,ARE
[O-][N+](=O)c1ccc(c(c1)N)O,2-Amino-4-nitrophenol,3613389,"1S/C6H6N2O3/c7-5-3-4(8(10)11)1-2-6(5)9/h1-3,9H,7H2",2-amino-4-nitrophenol,1,ARE
[O-][N+](=O)c1ccc(c(c1)O)N,2-Amino-5-nitrophenol,4984721,"1S/C6H6N2O3/c7-5-2-1-4(8(10)11)3-6(5)9/h1-3,9H,7H2",2-amino-5-nitrophenol,1,ARE
[O-][N+](=O)c1ccc(c(c1)S(=O)(=O)[O-])C=Cc1ccc(cc1S(=O)(=O)[O-])[N+](=O)[O-].[Na+].[Na+],"Disodium 4,4'-dinitro-2,2'-stilbenedisulfonate",19458,"1S/C14H10N2O10S2.2Na/c17-15(18)11-5-3-9(13(7-11)27(21,22)23)1-2-10-4-6-12(16(19)20)8-14(10)28(24,25)26;;/h1-8H,(H,21,22,23)(H,24,25,26);;/q;2*+1/p-2",disodium;5-nitro-2-[2-(4-nitro-2-sulfonatophenyl)ethenyl]benzenesulfonate,0,ARE
[O-][N+](=O)c1ccc(c(c1)S(=O)(=O)O)C,2-Methyl-5-nitrobenzenesulfonic acid,8458,"1S/C7H7NO5S/c1-5-2-3-6(8(9)10)4-7(5)14(11,12)13/h2-4H,1H3,(H,11,12,13)",2-methyl-5-nitrobenzenesulfonic acid,0,ARE
[O-][N+](=O)c1ccc(c(c1Cl)Cl)Cl,"2,3,4-Trichloronitrobenzene",28697,1S/C6H2Cl3NO2/c7-3-1-2-4(10(11)12)6(9)5(3)8/h1-2H,"1,2,3-trichloro-4-nitrobenzene",1,ARE
[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)O)O,Alizarine Yellow R,15588,"1S/C13H9N3O5/c17-12-6-3-9(7-11(12)13(18)19)15-14-8-1-4-10(5-2-8)16(20)21/h1-7,17H,(H,18,19)",2-hydroxy-5-[(4-nitrophenyl)diazenyl]benzoic acid,1,ARE
[O-][N+](=O)c1ccc(cc1)n1cc(nc1C)[N+](=O)[O-],Nitrefazole,71900,"1S/C10H8N4O4/c1-7-11-10(14(17)18)6-12(7)8-2-4-9(5-3-8)13(15)16/h2-6H,1H3",2-methyl-4-nitro-1-(4-nitrophenyl)imidazole,0,ARE
[O-][N+](=O)c1ccc(cc1)Oc1ccc(cc1)[N+](=O)[O-],"4,4'-Dinitrodiphenyl ether",7568,1S/C12H8N2O5/c15-13(16)9-1-5-11(6-2-9)19-12-7-3-10(4-8-12)14(17)18/h1-8H,1-nitro-4-(4-nitrophenoxy)benzene,0,ARE
[O-][N+](=O)c1ccc(cc1C(=O)OC)Cl,Methyl 5-chloro-2-nitrobenzoate,171018,"1S/C8H6ClNO4/c1-14-8(11)6-4-5(9)2-3-7(6)10(12)13/h2-4H,1H3",methyl 5-chloro-2-nitrobenzoate,0,ARE
[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],Nifursol,9570327,"1S/C12H7N5O9/c18-11-8(3-6(15(20)21)4-9(11)16(22)23)12(19)14-13-5-7-1-2-10(26-7)17(24)25/h1-5,18H,(H,14,19)/b13-5+","2-hydroxy-3,5-dinitro-N-[(E)-(5-nitrofuran-2-yl)methylideneamino]benzamide",1,ARE
[O-][N+](=O)c1ccc(o1)/C=N\O,(Z)-Nitrofuraldoxime,5373493,"1S/C5H4N2O4/c8-6-3-4-1-2-5(11-4)7(9)10/h1-3,8H/b6-3-",(NZ)-N-[(5-nitrofuran-2-yl)methylidene]hydroxylamine,1,ARE
[O-][N+](=O)c1ccc(o1)c1nnc(o1)N,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-oxadiazole",77406,"1S/C6H4N4O4/c7-6-9-8-5(14-6)3-1-2-4(13-3)10(11)12/h1-2H,(H2,7,9)","5-(5-nitrofuran-2-yl)-1,3,4-oxadiazol-2-amine",1,ARE
[O-][N+](=O)c1ccc(o1)c1nnc(o1)O,"5-(5-Nitro-2-furyl)-1,3,4-oxadiazole-2-ol",16463,"1S/C6H3N3O5/c10-6-8-7-5(14-6)3-1-2-4(13-3)9(11)12/h1-2H,(H,8,10)","5-(5-nitrofuran-2-yl)-3H-1,3,4-oxadiazol-2-one",1,ARE
[O-][N+](=O)c1ccc2c(c1)[nH]cn2,5-Nitrobenzimidazole,7195,"1S/C7H5N3O2/c11-10(12)5-1-2-6-7(3-5)9-4-8-6/h1-4H,(H,8,9)",6-nitro-1H-benzimidazole,0,ARE
[O-][N+](=O)c1ccc2c(c1)c(=O)[nH][nH]c2=O,4-Nitrophthalhydrazide,3543259,"1S/C8H5N3O4/c12-7-5-2-1-4(11(14)15)3-6(5)8(13)10-9-7/h1-3H,(H,9,12)(H,10,13)","6-nitro-2,3-dihydrophthalazine-1,4-dione",0,ARE
[O-][N+](=O)c1ccc2c(c1)c[nH]n2,5-Nitroindazole,21501,"1S/C7H5N3O2/c11-10(12)6-1-2-7-5(3-6)4-8-9-7/h1-4H,(H,8,9)",5-nitro-1H-indazole,0,ARE
[O-][N+](=O)c1ccc2c(c1)cccn2,6-Nitroquinoline,11945,1S/C9H6N2O2/c12-11(13)8-3-4-9-7(6-8)2-1-5-10-9/h1-6H,6-nitroquinoline,0,ARE
[O-][N+](=O)c1ccc2c3c1ccc1c3c(cc2)ccc1,1-Nitropyrene,21694,1S/C16H9NO2/c18-17(19)14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9H,1-nitropyrene,1,ARE
[O-][N+](=O)c1cccc(c1)[N+](=O)[O-],"1,3-Dinitrobenzene",7452,1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,"1,3-dinitrobenzene",1,ARE
[O-][N+](=O)c1cccc(c1)C(F)(F)F,3-Nitrobenzotrifluoride,7386,"1S/C7H4F3NO2/c8-7(9,10)5-2-1-3-6(4-5)11(12)13/h1-4H",1-nitro-3-(trifluoromethyl)benzene,0,ARE
[O-][N+](=O)c1cccc(c1)S(=O)(=O)[O-].[Na+],Sodium 3-nitrobenzenesulfonate,31389,"1S/C6H5NO5S.Na/c8-7(9)5-2-1-3-6(4-5)13(10,11)12;/h1-4H,(H,10,11,12);/q;+1/p-1",sodium;3-nitrobenzenesulfonate,0,ARE
[O-][N+](=O)c1cccc(c1)S(=O)(=O)NCCNS(=O)(=O)c1cccc(c1)[N+](=O)[O-],Dinsed,14895,"1S/C14H14N4O8S2/c19-17(20)11-3-1-5-13(9-11)27(23,24)15-7-8-16-28(25,26)14-6-2-4-12(10-14)18(21)22/h1-6,9-10,15-16H,7-8H2",3-nitro-N-[2-[(3-nitrophenyl)sulfonylamino]ethyl]benzenesulfonamide,1,ARE
[O-][N+](=O)c1cccc(c1C(=O)O)C,2-Methyl-6-nitrobenzoic acid,16097,"1S/C8H7NO4/c1-5-3-2-4-6(9(12)13)7(5)8(10)11/h2-4H,1H3,(H,10,11)",2-methyl-6-nitrobenzoic acid,0,ARE
[O-][N+](=O)c1cccc(c1C)C,3-Nitro-o-xylene,6739,"1S/C8H9NO2/c1-6-4-3-5-8(7(6)2)9(10)11/h3-5H,1-2H3","1,2-dimethyl-3-nitrobenzene",0,ARE
[O-][N+](=O)c1cccc(c1C)Cl,2-Chloro-6-nitrotoluene,6740,"1S/C7H6ClNO2/c1-5-6(8)3-2-4-7(5)9(10)11/h2-4H,1H3",1-chloro-2-methyl-3-nitrobenzene,0,ARE
[O-][N+](=O)c1cccc(c1C)N,2-Methyl-3-nitroaniline,11783,"1S/C7H8N2O2/c1-5-6(8)3-2-4-7(5)9(10)11/h2-4H,8H2,1H3",2-methyl-3-nitroaniline,0,ARE
[O-][N+](=O)c1cccc(c1Cl)Cl,"2,3-Dichloronitrobenzene",18555,1S/C6H3Cl2NO2/c7-4-2-1-3-5(6(4)8)9(10)11/h1-3H,"1,2-dichloro-3-nitrobenzene",0,ARE
[O-][N+](=O)c1cccc2c1c(ccc2)[N+](=O)[O-],"1,8-Dinitronaphthalene",11764,1S/C10H6N2O4/c13-11(14)8-5-1-3-7-4-2-6-9(10(7)8)12(15)16/h1-6H,"1,8-dinitronaphthalene",1,ARE
[O-][N+](=O)c1cccc2c1cccc2[N+](=O)[O-],"1,5-Dinitronaphthalene",11803,1S/C10H6N2O4/c13-11(14)9-5-1-3-7-8(9)4-2-6-10(7)12(15)16/h1-6H,"1,5-dinitronaphthalene",1,ARE
[O-][N+](=O)c1cccc2c1nccc2,8-Nitroquinoline,11830,1S/C9H6N2O2/c12-11(13)8-5-1-3-7-4-2-6-10-9(7)8/h1-6H,8-nitroquinoline,1,ARE
[O-][N+](=O)c1ccccc1,Nitrobenzene,7416,1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,nitrobenzene,0,ARE
[O-][N+](=O)c1ccccc1[N+](=O)[O-],"1,2-Dinitrobenzene",10707,1S/C6H4N2O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,"1,2-dinitrobenzene",1,ARE
[O-][N+](=O)c1ccccc1[O-].[Na+],Sodium 2-nitrophenolate,69985,"1S/C6H5NO3.Na/c8-6-4-2-1-3-5(6)7(9)10;/h1-4,8H;/q;+1/p-1",sodium;2-nitrophenolate,0,ARE
[O-][N+](=O)c1ccccc1C,2-Nitrotoluene,6944,"1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",1-methyl-2-nitrobenzene,0,ARE
[O-][N+](=O)c1ccccc1C(=O)C,2'-Nitroacetophenone,11346,"1S/C8H7NO3/c1-6(10)7-4-2-3-5-8(7)9(11)12/h2-5H,1H3",1-(2-nitrophenyl)ethanone,0,ARE
[O-][N+](=O)c1ccccc1C(=O)Cl,2-Nitrobenzoyl chloride,11875,1S/C7H4ClNO3/c8-7(10)5-3-1-2-4-6(5)9(11)12/h1-4H,2-nitrobenzoyl chloride,0,ARE
[O-][N+](=O)c1ccccc1C(=O)O,2-Nitrobenzoic acid,11087,"1S/C7H5NO4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)",2-nitrobenzoic acid,0,ARE
[O-][N+](=O)c1ccccc1C(F)(F)F,2-Nitrobenzotrifluoride,9795,"1S/C7H4F3NO2/c8-7(9,10)5-3-1-2-4-6(5)11(12)13/h1-4H",1-nitro-2-(trifluoromethyl)benzene,0,ARE
[O-][N+](=O)c1ccccc1c1ccccc1,2-Nitrobiphenyl,6829,1S/C12H9NO2/c14-13(15)12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,1-nitro-2-phenylbenzene,0,ARE
[O-][N+](=O)c1ccccc1Cl,1-Chloro-2-nitrobenzene,6945,1S/C6H4ClNO2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,1-chloro-2-nitrobenzene,0,ARE
[O-][N+](=O)c1ccccc1N,2-Nitroaniline,6946,"1S/C6H6N2O2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,7H2",2-nitroaniline,0,ARE
[O-][N+](=O)c1ccccc1Nc1ccccc1,2-Nitrodiphenylamine,8407,"1S/C12H10N2O2/c15-14(16)12-9-5-4-8-11(12)13-10-6-2-1-3-7-10/h1-9,13H",2-nitro-N-phenylaniline,0,ARE
[O-][N+](=O)c1ccccc1O,2-Nitrophenol,6947,"1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H",2-nitrophenol,0,ARE
[O-][N+](=O)c1cnc(n1C)C,Dimetridazole,3090,"1S/C5H7N3O2/c1-4-6-3-5(7(4)2)8(9)10/h3H,1-2H3","1,2-dimethyl-5-nitroimidazole",0,ARE
[O-][N+](=O)c1cncn1CCN1CCOCC1,Nimorazole,23009,"1S/C9H14N4O3/c14-13(15)9-7-10-8-12(9)2-1-11-3-5-16-6-4-11/h7-8H,1-6H2",4-[2-(5-nitroimidazol-1-yl)ethyl]morpholine,0,ARE
[O-][N+](=O)c1nccn1CC(=O)NCCO,Etanidazole,3276,"1S/C7H10N4O4/c12-4-2-8-6(13)5-10-3-1-9-7(10)11(14)15/h1,3,12H,2,4-5H2,(H,8,13)",N-(2-hydroxyethyl)-2-(2-nitroimidazol-1-yl)acetamide,0,ARE
