SMILES,Name,CID,InChI,IUPAC,Status,Source
[O-][Cr](=O)(=O)[O-].[Sr+2],Strontium chromate,24599,1S/Cr.4O.Sr/q;;;2*-1;+2,strontium;dioxido(dioxo)chromium,1,CCRIS
[O-][Cr](=O)(=O)[O-].[Zn+2],ZINC chromate,26089,1S/Cr.4O.Zn/q;;;2*-1;+2,zinc;dioxido(dioxo)chromium,1,CCRIS
[O-][N+](=O)/N=C(/N([N+](=O)[O-])C)\N,N-methyl-N-nitro-nitroguanidine,23249,"1S/C2H5N5O4/c1-5(7(10)11)2(3)4-6(8)9/h1H3,(H2,3,4)","1-methyl-1,2-dinitroguanidine",0,CCRIS
[O-][N+](=O)/N=C\1/N(Cc2cnc(s2)Cl)COCN1C,Actara,5821911,"1S/C8H10ClN5O3S/c1-12-4-17-5-13(8(12)11-14(15)16)3-6-2-10-7(9)18-6/h2H,3-5H2,1H3/b11-8+","(NE)-N-[3-[(2-chloro-1,3-thiazol-5-yl)methyl]-5-methyl-1,3,5-oxadiazinan-4-ylidene]nitramide",0,CCRIS
[O-][N+](=O)c1c2ccc3c(c2cc2c1c1ccccc1cc2)cccc3,"Dibenz(a,h)anthracene, 7-nitro-",148989,1S/C22H13NO2/c24-23(25)22-19-12-11-14-5-1-3-7-17(14)20(19)13-16-10-9-15-6-2-4-8-18(15)21(16)22/h1-13H,"14-nitronaphtho[1,2-b]phenanthrene",1,CCRIS
[O-][N+](=O)c1c2ccccc2cc2c1c1ccccc1c1c2cccc1,"Benzo(b)triphenylene, 9-nitro-",150723,1S/C22H13NO2/c24-23(25)22-15-8-2-1-7-14(15)13-20-18-11-4-3-9-16(18)17-10-5-6-12-19(17)21(20)22/h1-13H,9-nitrobenzo[b]triphenylene,0,CCRIS
[O-][N+](=O)c1cc([N+](=O)[O-])c2c(c1[O-])cc(cc2)S(=O)(=O)[O-].[Na+].[Na+],Naphthol Yellow S,2724063,"1S/C10H6N2O8S.2Na/c13-10-7-3-5(21(18,19)20)1-2-6(7)8(11(14)15)4-9(10)12(16)17;;/h1-4,13H,(H,18,19,20);;/q;2*+1/p-2","disodium;5,7-dinitro-8-oxidonaphthalene-2-sulfonate",0,CCRIS
[O-][N+](=O)c1cc2c(c3c1cccc3)ccc1c2cccc1,6-Nitrochrysene,24121,1S/C18H11NO2/c20-19(21)18-11-17-13-6-2-1-5-12(13)9-10-15(17)14-7-3-4-8-16(14)18/h1-11H,6-nitrochrysene,1,CCRIS
[O-][N+](=O)c1cc2ccccc2c2c1c(cc1c2OCO1)C(=O)O.COc1cccc2c1cc([N+](=O)[O-])c1c2c2OCOc2cc1C(=O)O.COc1cccc2c1cc([N+](=O)[O-])c1c2c2OCOc2cc1C(=O)O,Aristolochic acids,56841539,"1S/2C17H11NO7.C16H9NO6/c2*1-23-12-4-2-3-8-9(12)5-11(18(21)22)14-10(17(19)20)6-13-16(15(8)14)25-7-24-13;18-16(19)10-6-12-15(23-7-22-12)14-9-4-2-1-3-8(9)5-11(13(10)14)17(20)21/h2*2-6H,7H2,1H3,(H,19,20);1-6H,7H2,(H,18,19)","8-methoxy-6-nitronaphtho[2,1-g][1,3]benzodioxole-5-carboxylic acid;6-nitronaphtho[2,1-g][1,3]benzodioxole-5-carboxylic acid",1,CCRIS
[O-][N+](=O)c1ccc(cc1)OC1OC1,2'-(4-Nitrophenoxy)oxirane,124682,"1S/C8H7NO4/c10-9(11)6-1-3-7(4-2-6)13-8-5-12-8/h1-4,8H,5H2",2-(4-nitrophenoxy)oxirane,1,CCRIS
[O-][N+](=O)c1ccc2c(c1)c1ccc3c(c1cc2)cccc3,3-Nitrochrysene,151998,1S/C18H11NO2/c20-19(21)14-8-5-13-7-9-16-15-4-2-1-3-12(15)6-10-17(16)18(13)11-14/h1-11H,3-nitrochrysene,0,CCRIS
[O-][N+](=O)c1ccc2c3c1C1OC1c1c3c(cc2)ccc1,"1-Nitropyrene-9,10-oxide",107809,"1S/C16H9NO3/c18-17(19)11-7-6-9-5-4-8-2-1-3-10-12(8)13(9)14(11)16-15(10)20-16/h1-7,15-16H","6-nitro-3-oxapentacyclo[7.6.2.02,4.05,17.012,16]heptadeca-1(15),5,7,9(17),10,12(16),13-heptaene",0,CCRIS
[O-][N+](=O)c1ccc2c3c1cccc3C(=O)c1c2cccc1,3-Nitrobenzanthrone,2825690,1S/C17H9NO3/c19-17-12-5-2-1-4-10(12)11-8-9-15(18(20)21)13-6-3-7-14(17)16(11)13/h1-9H,3-nitrobenzo[b]phenalen-7-one,1,CCRIS
[O-][N+](=O)c1cccc2c1ccc1c2ccc2c1cccc2,1-Nitrochrysene,44334,1S/C18H11NO2/c20-19(21)18-7-3-6-14-16-9-8-12-4-1-2-5-13(12)15(16)10-11-17(14)18/h1-11H,1-nitrochrysene,0,CCRIS
[O-][N+](=O)c1cnc(n1C)C1=NOC2C1CCCC2,"3a,4,5,6,7,7a-Hexahydro-3-(1-methyl-5-nitroimidazol-2-yl)-1,2-benzisoxazole",119263,"1S/C11H14N4O3/c1-14-9(15(16)17)6-12-11(14)10-7-4-2-3-5-8(7)18-13-10/h6-8H,2-5H2,1H3","3-(1-methyl-5-nitroimidazol-2-yl)-3a,4,5,6,7,7a-hexahydro-1,2-benzoxazole",1,CCRIS
[O-][N+](=O)CN,N-Nitromethylamine,61148,1S/CH4N2O2/c2-1-3(4)5/h1-2H2,nitromethanamine,1,CCRIS
[O-][N+](=O)NC(=NC)NCc1cnc(s1)Cl,"1-[(2-Chloro-1,3-thiazol-5-yl)methyl]-2-methyl-3-nitroguanidine",213027,"1S/C6H8ClN5O2S/c1-8-6(11-12(13)14)10-3-4-2-9-5(7)15-4/h2H,3H2,1H3,(H2,8,10,11)","1-[(2-chloro-1,3-thiazol-5-yl)methyl]-2-methyl-3-nitroguanidine",0,CCRIS
[O-][N+](=O)NC1=NCCN1Cc1ccc(nc1)Cl,"N-[1-[(6-chloro-3-pyridinyl)methyl]-4,5-dihydroimidazol-2-yl]nitramide",86418,"1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)","N-[1-[(6-chloropyridin-3-yl)methyl]-4,5-dihydroimidazol-2-yl]nitramide",1,CCRIS
[O-][Si]([O-])([O-])[O-].[Al+3],Aluminum;silicate,44144451,"1S/Al.O4Si/c;1-5(2,3)4/q+3;-4",aluminum;silicate,1,CCRIS
[O-][Si]([O-])([O-])[O-].[Be+2].[Zn+2],Zinc beryllium silicate,22748686,"1S/Be.O4Si.Zn/c;1-5(2,3)4;/q+2;-4;+2",beryllium;zinc;silicate,1,CCRIS
[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Be+2].[Be+2].[Be+2].[Al+3].[Al+3],Beryl,14767,1S/2Al.3Be.6O3Si/c;;;;;6*1-4(2)3/q2*+3;3*+2;6*-2,dialuminum;triberyllium;dioxido(oxo)silane,1,CCRIS
[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Ca+2].[Ca+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[H+].[H+],Ferroactinolite,73456703,1S/2Ca.5Fe.8O3Si/c;;;;;;;8*1-4(2)3/q7*+2;8*-2/p+2,dicalcium;dioxido(oxo)silane;hydron;iron(2+),1,CCRIS
[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)O.[O-][Si](=O)O.[Mg+2].[Mg+2].[Mg+2],Supreme,26924,1S/3Mg.2HO3Si.2O3Si/c;;;4*1-4(2)3/h;;;2*1H;;/q3*+2;2*-1;2*-2,trimagnesium;dioxido(oxo)silane;hydroxy-oxido-oxosilane,1,CCRIS
[O-][Si](O)([O-])[O-].[O-][Si](O)([O-])[O-].O.[Mg+2].[Mg+2].[Mg+2],Chrysotile,25477,"1S/3Mg.2HO4Si.H2O/c;;;2*1-5(2,3)4;/h;;;2*1H;1H2/q3*+2;2*-3;",trimagnesium;hydroxy(trioxido)silane;hydrate,1,CCRIS
[O-]/[N+](=N\CO)/C,"Methanol, (methyl-ONN-azoxy)-",11554,"1S/C2H6N2O2/c1-4(6)3-2-5/h5H,2H2,1H3",hydroxymethylimino-methyl-oxidoazanium,1,CCRIS
[O-]C(=O)[C@@H]1[C@H]2CC[C@@H]([C@@H]1C(=O)[O-])O2.[Na+].[Na+],"Disodium 7-oxabicyclo(2.2.1)heptane-2,3-dicarboxylate",44318676,"1S/C8H10O5.2Na/c9-7(10)5-3-1-2-4(13-3)6(5)8(11)12;;/h3-6H,1-2H2,(H,9,10)(H,11,12);;/q;2*+1/p-2/t3-,4+,5-,6+;;","disodium;(1S,2R,3S,4R)-7-oxabicyclo[2.2.1]heptane-2,3-dicarboxylate",1,CCRIS
[O-]C(=O)[O-].[Be+2],Beryllium carbonate,61577,"1S/CH2O3.Be/c2-1(3)4;/h(H2,2,3,4);/q;+2/p-2",beryllium;carbonate,1,CCRIS
[O-]C(=O)C.[O-]C(=O)C.[Pb+2],Lead acetate,9317,"1S/2C2H4O2.Pb/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2",lead(2+);diacetate,1,CCRIS
[O-]C(=O)C.[O-]C(=O)C.[Pb+2].[Pb+2].[Pb+2].[OH-].[OH-].[OH-].[OH-],"Lead acetate, basic",5284406,"1S/2C2H4O2.4H2O.3Pb/c2*1-2(3)4;;;;;;;/h2*1H3,(H,3,4);4*1H2;;;/q;;;;;;3*+2/p-6",lead(2+);diacetate;tetrahydroxide,1,CCRIS
[O-]C(=O)C(=O)[O-].[O-]C(=O)C(=O)[O-].[Ti+2]=O.[K+].[K+],Potassium bis(oxalato)oxotitanate(IV) dihydrate,159741,"1S/2C2H2O4.2K.O.Ti/c2*3-1(4)2(5)6;;;;/h2*(H,3,4)(H,5,6);;;;/q;;2*+1;;+2/p-4",dipotassium;oxalate;oxotitanium(2+),0,CCRIS
[O-]C(=O)C(CC(=O)[O-])(CC(=O)[O-])O.[Fe+3],Ferric citrate,61300,"1S/C6H8O7.Fe/c7-3(8)1-6(13,5(11)12)2-4(9)10;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);/q;+3/p-3","2-hydroxypropane-1,2,3-tricarboxylate;iron(3+)",0,CCRIS
[O-]C(=O)C[C@H](C[C@H](/C=C/c1c(c2ccc(cc2)F)c2c(n1C(C)C)cccc2)O)O.[Na+],Locol,23679527,"1S/C24H26FNO4.Na/c1-15(2)26-21-6-4-3-5-20(21)24(16-7-9-17(25)10-8-16)22(26)12-11-18(27)13-19(28)14-23(29)30;/h3-12,15,18-19,27-28H,13-14H2,1-2H3,(H,29,30);/q;+1/p-1/b12-11+;/t18-,19-;/m0./s1","sodium;(E,3S,5R)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoate",1,CCRIS
[O-]C(=O)c1ccccc1.CC[C@@H]([C@H]1O[C@@]2(C=C[C@@H]1C)O[C@@H]1C/C=C(\C)/[C@@H](O[C@H]3C[C@H](OC)[C@H]([C@@H](O3)C)O[C@H]3C[C@H](OC)[C@H]([C@@H](O3)C)[NH2+]C)[C@@H](C)/C=C/C=C\3/[C@]4([C@H](C(=O)O[C@H](C2)C1)C=C(C)[C@H]([C@H]4OC3)O)O)C,Emamectin benzoate,11650986,"1S/C49H75NO13.C7H6O2/c1-12-26(2)44-29(5)18-19-48(63-44)24-35-21-34(62-48)17-16-28(4)43(27(3)14-13-15-33-25-56-46-42(51)30(6)20-36(47(52)59-35)49(33,46)53)60-40-23-38(55-11)45(32(8)58-40)61-39-22-37(54-10)41(50-9)31(7)57-39;8-7(9)6-4-2-1-3-5-6/h13-16,18-20,26-27,29,31-32,34-46,50-51,53H,12,17,21-25H2,1-11H3;1-5H,(H,8,9)/b14-13+,28-16+,33-15+;/t26-,27-,29-,31-,32-,34+,35-,36-,37-,38-,39-,40-,41-,42+,43-,44+,45-,46+,48+,49+;/m0./s1","benzoic acid;(1'R,2R,3S,4'S,6S,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-2-[(2S)-butan-2-yl]-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-4-methoxy-5-[(2S,4S,5S,6S)-4-methoxy-6-methyl-5-(methylamino)oxan-2-yl]oxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",0,CCRIS
[O-]C(=O)c1ccccn1.[O-]C(=O)c1ccccn1.[O-]C(=O)c1ccccn1.O.[Cr+3],Chromium picolinate monohydrate,22833491,"1S/3C6H5NO2.Cr.H2O/c3*8-6(9)5-3-1-2-4-7-5;;/h3*1-4H,(H,8,9);;1H2/q;;;+3;/p-3",chromium(3+);pyridine-2-carboxylate;hydrate,0,CCRIS
[O-]C(=O)CC(C(=O)[O-])(CC(=O)O)O.[O-]C(=O)CC(C(=O)[O-])(CC(=O)O)O.[Pu],Plutonium citrate,108004,"1S/2C6H8O7.Pu/c2*7-3(8)1-6(13,5(11)12)2-4(9)10;/h2*13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);/p-4",2-(carboxymethyl)-2-hydroxybutanedioate;plutonium,1,CCRIS
[O-]C(=O)CCC(=O)[O-].[Na+].[Na+],Disodium succinate,9020,"1S/C4H6O4.2Na/c5-3(6)1-2-4(7)8;;/h1-2H2,(H,5,6)(H,7,8);;/q;2*+1/p-2",disodium;butanedioate,0,CCRIS
[O-]C(=O)CCCCCCCCC(=O)[O-].[Na+].[Na+],Disodium sebacate,134734,"1S/C10H18O4.2Na/c11-9(12)7-5-3-1-2-4-6-8-10(13)14;;/h1-8H2,(H,11,12)(H,13,14);;/q;2*+1/p-2",disodium;decanedioate,0,CCRIS
[O-]C(=O)CN(CC(=O)[O-])CC(=O)[O-].[Cu+2],Cupric nitrilotriacetate,61819,"1S/C6H9NO6.Cu/c8-4(9)1-7(2-5(10)11)3-6(12)13;/h1-3H2,(H,8,9)(H,10,11)(H,12,13);/q;+2/p-3",copper;2-[bis(carboxylatomethyl)amino]acetate,1,CCRIS
[O-]C(=O)CN(CC(=O)[O-])CC(=O)[O-].[Fe+3],Ferric nitrilotriacetate,27880,"1S/C6H9NO6.Fe/c8-4(9)1-7(2-5(10)11)3-6(12)13;/h1-3H2,(H,8,9)(H,10,11)(H,12,13);/q;+3/p-3",2-[bis(carboxylatomethyl)amino]acetate;iron(3+),1,CCRIS
[O-]C(=O)CN(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+],Trisodium nitrilotriacetate,21152,"1S/C6H9NO6.3Na/c8-4(9)1-7(2-5(10)11)3-6(12)13;;;/h1-3H2,(H,8,9)(H,10,11)(H,12,13);;;/q;3*+1/p-3",trisodium;2-[bis(carboxylatomethyl)amino]acetate,1,CCRIS
[O-]C(=O)CN(CC(=O)[O-])CCN(CC(=O)O)CC(=O)[O-].[Na+].[Na+].[Na+],Edetate trisodium,9008,"1S/C10H16N2O8.3Na/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20;;;/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20);;;/q;3*+1/p-3",trisodium;2-[2-[bis(carboxylatomethyl)amino]ethyl-(carboxymethyl)amino]acetate,0,CCRIS
[O-]C(=O)CNCCNCC(=O)[O-].[O-]C(=O)CNCCNCC(=O)[O-].[O-]C(=O)CNCCNCC(=O)[O-].[Fe+3].[Fe+3],"Ferric ethylenediamine N,N'-diacetate",151996,"1S/3C6H12N2O4.2Fe/c3*9-5(10)3-7-1-2-8-4-6(11)12;;/h3*7-8H,1-4H2,(H,9,10)(H,11,12);;/q;;;2*+3/p-6",2-[2-(carboxylatomethylamino)ethylamino]acetate;iron(3+),1,CCRIS
[O-]c1c(Br)cc2c(c1Br)Oc1c(C32OC(=O)c2c3c(Cl)c(Cl)c(c2Cl)Cl)cc(c(c1Br)[O-])Br.[Na+].[Na+],Acid red 92,6433718,"1S/C20H4Br4Cl4O5.2Na/c21-5-1-3-17(9(23)15(5)29)32-18-4(2-6(22)16(30)10(18)24)20(3)8-7(19(31)33-20)11(25)13(27)14(28)12(8)26;;/h1-2,29-30H;;/q;2*+1/p-2","disodium;2',4',5',7'-tetrabromo-4,5,6,7-tetrachloro-3-oxospiro[2-benzofuran-1,9'-xanthene]-3',6'-diolate",0,CCRIS
[O-]c1ccc(=O)[nH]n1.[K+],"Maleic hydrazide, potassium salt",23695319,"1S/C4H4N2O2.K/c7-3-1-2-4(8)6-5-3;/h1-2H,(H,5,7)(H,6,8);/q;+1/p-1",potassium;6-oxo-1H-pyridazin-3-olate,0,CCRIS
[O-]n1cnc2c1C(=O)NC(=O)[NH2+]2,7-Hydroxyxanthine,146310,"1S/C5H3N4O3/c10-4-2-3(6-1-9(2)12)7-5(11)8-4/h1H,(H2,7,8,10,11)/q-1/p+1","7-oxido-3H-purin-3-ium-2,6-dione",1,CCRIS
[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Pb+2].[Pb+2].[Pb+2],Lead phosphate,24009,"1S/2H3O4P.3Pb/c2*1-5(2,3)4;;;/h2*(H3,1,2,3,4);;;/q;;3*+2/p-6",lead(2+);diphosphate,1,CCRIS
[O-]P(=O)=O.[O-]P(=O)=O.[O-]P(=O)=O.[Na+].[Ca+2],Calcium sodium metaphosphate,16166309,"1S/Ca.Na.3HO3P/c;;3*1-4(2)3/h;;3*(H,1,2,3)/q+2;+1;;;/p-3",,0,CCRIS
[O-]P1(=O)OP(=O)([O-])OP(=O)(O1)[O-].[Na+].[Na+].[Na+],Sodium trimetaphosphate,24579,"1S/3Na.H3O9P3/c;;;1-10(2)7-11(3,4)9-12(5,6)8-10/h;;;(H,1,2)(H,3,4)(H,5,6)/q3*+1;/p-3","trisodium;2,4,6-trioxido-1,3,5,2lambda5,4lambda5,6lambda5-trioxatriphosphinane 2,4,6-trioxide",0,CCRIS
[O-]S(=O)(=O)[O-].[Ni+2],Nickel sulfate,24586,"1S/Ni.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2",nickel(2+);sulfate,0,CCRIS
[O-]S(=O)(=O)[O-].Cc1ccc(cc1)[N+]#N,4-Methylbenzenediazonium sulfate,161732,"1S/C7H7N2.H2O4S/c1-6-2-4-7(9-8)5-3-6;1-5(2,3)4/h2-5H,1H3;(H2,1,2,3,4)/q+1;/p-2",4-methylbenzenediazonium;sulfate,1,CCRIS
[O-]S(=O)(=O)C.OCc1ccc(c2c1sc1ccccc1c2=O)NCC[NH+](CC)CC,Etrenol,31764,"1S/C20H24N2O2S.CH4O3S/c1-3-22(4-2)12-11-21-16-10-9-14(13-23)20-18(16)19(24)15-7-5-6-8-17(15)25-20;1-5(2,3)4/h5-10,21,23H,3-4,11-13H2,1-2H3;1H3,(H,2,3,4)",diethyl-[2-[[4-(hydroxymethyl)-9-oxothioxanthen-1-yl]amino]ethyl]azanium;methanesulfonate,1,CCRIS
[O-]S(=O)(=O)NC1CCCCC1.[O-]S(=O)(=O)NC1CCCCC1.[Ca+2],Calcium cyclamate,8752,"1S/2C6H13NO3S.Ca/c2*8-11(9,10)7-6-4-2-1-3-5-6;/h2*6-7H,1-5H2,(H,8,9,10);/q;;+2/p-2",calcium;N-cyclohexylsulfamate,1,CCRIS
[O-]S(=O)(=O)O.OC[C@@H]1O[C@@H](OC(C(C(=O)NC(C(C(C(=O)NC(C(=O)NCCc2scc(n2)c2scc(n2)C(=O)NCCC[S+](C)C)C(O)C)C)O)C)NC(=O)c2nc(nc(c2C)N)C(CC(=O)N)NCC(C(=O)N)N)c2[nH]cnc2)[C@H]([C@H]([C@@H]1O)O)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)OC(=O)N)O,Bleomycin sulfate,72466,"1S/C55H83N17O21S3.H2O4S/c1-20-33(69-46(72-44(20)58)25(12-31(57)76)64-13-24(56)45(59)82)50(86)71-35(41(26-14-61-19-65-26)91-54-43(39(80)37(78)29(15-73)90-54)92-53-40(81)42(93-55(60)88)38(79)30(16-74)89-53)51(87)66-22(3)36(77)21(2)47(83)70-34(23(4)75)49(85)63-10-8-32-67-28(18-94-32)52-68-27(17-95-52)48(84)62-9-7-11-96(5)6;1-5(2,3)4/h14,17-19,21-25,29-30,34-43,53-54,64,73-75,77-81H,7-13,15-16,56H2,1-6H3,(H13-,57,58,59,60,61,62,63,65,66,69,70,71,72,76,82,83,84,85,86,87,88);(H2,1,2,3,4)/t21?,22?,23?,24?,25?,29-,30+,34?,35?,36?,37+,38+,39-,40-,41?,42-,43-,53+,54-;/m0./s1","3-[[2-[2-[2-[[2-[[4-[[2-[[6-amino-2-[3-amino-1-[(2,3-diamino-3-oxopropyl)amino]-3-oxopropyl]-5-methylpyrimidine-4-carbonyl]amino]-3-[(2R,3S,4S,5S,6S)-3-[(2R,3S,4S,5R,6R)-4-carbamoyloxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-(1H-imidazol-5-yl)propanoyl]amino]-3-hydroxy-2-methylpentanoyl]amino]-3-hydroxybutanoyl]amino]ethyl]-1,3-thiazol-4-yl]-1,3-thiazole-4-carbonyl]amino]propyl-dimethylsulfanium;hydrogen sulfate",1,CCRIS
[O-]S(=O)(=O)O.Oc1ccc(cc1)[N+]#N,4-Hydroxybenzenediazonium sulfate,24849108,"1S/C6H4N2O.H2O4S/c7-8-5-1-3-6(9)4-2-5;1-5(2,3)4/h1-4H;(H2,1,2,3,4)",hydrogen sulfate;4-hydroxybenzenediazonium,1,CCRIS
[O-]S(=O)O.OCc1ccc(cc1)[N+]#N,4-(Hydroxymethyl)benzenediazonium bisulfite,91827143,"1S/C7H7N2O.H2O3S/c8-9-7-3-1-6(5-10)2-4-7;1-4(2)3/h1-4,10H,5H2;(H2,1,2,3)/q+1;/p-1",hydrogen sulfite;4-(hydroxymethyl)benzenediazonium,1,CCRIS
[O-]S(=O)S(=O)(=O)[O-].[Na+].[Na+],Sodium metabisulfite,656671,"1S/2Na.H2O5S2/c;;1-6(2)7(3,4)5/h;;(H,1,2)(H,3,4,5)/q2*+1;/p-2",,0,CCRIS
[O-2].[O-2].[O-2].[AlH3+3].[AlH3+3],,NA,,,1,CCRIS
[O-2].[O-2].[O-2].[AsH3+3].[AsH3+3],,NA,,,1,CCRIS
[O-2].[O-2].[O-2].[Fe+3].[Fe+3],Hematite,14833,1S/2Fe.3O/q2*+3;3*-2,iron(3+);oxygen(2-),0,CCRIS
[O-2].[O-2].[O-2].[GaH3+3].[GaH3+3],,NA,,,0,CCRIS
[O-2].[O-2].[O-2].[Sb+3].[Sb+3],Diantimony trioxide,14794,1S/3O.2Sb/q3*-2;2*+3,antimony(3+);oxygen(2-),1,CCRIS
[SH2-2].[SH2-2].[SH2-2].[SH2-2].[Fe+3].[Ni+2].[Ni+2].[Ni+2].[Ni+2],,NA,,,1,CCRIS
[Si],Silicon,5461123,1S/Si,silicon,1,CCRIS
[Ta],Tantalum,23956,1S/Ta,tantalum,0,CCRIS
[W],Tungsten,23964,1S/W,tungsten,1,CCRIS
BrC(C#N)Br,Dibromoacetonitrile,18617,1S/C2HBr2N/c3-2(4)1-5/h2H,"2,2-dibromoacetonitrile",1,CCRIS
BrCC(COP(=O)(OCC(CBr)Br)O)Br.[Mg],"Bis(2,3-dibromopropyl)phosphate, magnesium salt",44144565,"1S/C6H11Br4O4P.Mg/c7-1-5(9)3-13-15(11,12)14-4-6(10)2-8;/h5-6H,1-4H2,(H,11,12);",,1,CCRIS
C[C@@H]1C[C@H](C)CN(C1)S(=O)(=O)c1ccc(c(c1)C(=O)O)Cl,Tibric acid,32335,"1S/C14H18ClNO4S/c1-9-5-10(2)8-16(7-9)21(19,20)11-3-4-13(15)12(6-11)14(17)18/h3-4,6,9-10H,5,7-8H2,1-2H3,(H,17,18)/t9-,10+","2-chloro-5-[(3R,5S)-3,5-dimethylpiperidin-1-yl]sulfonylbenzoic acid",1,CCRIS
C[C@@H]1CCC[C@@H](N1CCC[C@](c1ccccn1)(c1ccccc1)O)C.Cl,Pirmavar,76962233,"1S/C22H30N2O.ClH/c1-18-10-8-11-19(2)24(18)17-9-15-22(25,20-12-4-3-5-13-20)21-14-6-7-16-23-21;/h3-7,12-14,16,18-19,25H,8-11,15,17H2,1-2H3;1H/t18-,19+,22-;/m1./s1","(1R)-4-[(2S,6R)-2,6-dimethylpiperidin-1-yl]-1-phenyl-1-pyridin-2-ylbutan-1-ol;hydrochloride",0,CCRIS
